Gene	Cell type	Expression	Expression rate	Expression sum	Number of cells	Total
MS4A6A	secretory cell	3409.409481194824	0.004167365931418129	28192407	8269	1984227
MS4A6A	B cell	4055.807928775407	0.017377886267528952	362163369	89295	5138427
MS4A6A	T cell	4143.651457056255	0.015606661166260574	1527006004	368517	23612802
MS4A6A	epithelial cell	2958.366267314307	0.02571659272478859	509170335	172112	6692644
MS4A6A	myeloid leukocyte	4490.573459235653	0.5619069813105639	30815918212	6862357	12212621
MS4A6A	endothelial cell	4099.012622805121	0.02821773974081378	341291989	83262	2950697
MS4A6A	connective tissue cell	3646.8228988609676	0.01118005011974479	228280173	62597	5598991
MS4A6A	glial cell	3086.260169616364	0.008972121077092571	146655997	47519	5296295
MS4A6A	neural cell	3328.653844606285	0.0020867736102107067	82727034	24853	11909773
MS4A6A	blood cell	4366.166453273201	0.10858974509732038	685431373	156987	1445689
MS4A6A	muscle cell	3608.7383072100315	0.008408447036272828	57559376	15950	1896902
MS4A6A	innate lymphoid cell	4207.990781602432	0.018811252561558103	257453292	61182	3252415
MS4A6A	somatic stem cell	3383.2181170292574	0.007010467053302953	18039319	5332	760577
MS4A6A	progenitor cell	4021.628309231881	0.03145500380582039	372937658	92733	2948116
MS4A6A	retinal cell	3507.6127783155857	0.0008124096557994095	3623364	1033	1271526
MS4A6A	embryonic cell	3916.135260115607	0.0043049236809194836	23712199	6055	1406529
MS4A6A	kidney epithelial cell	3519.225641025641	0.004620962582051707	16469976	4680	1012776
MS4A6A	extraembryonic cell	2264.711433756806	0.006982815430628073	1247856	551	78908
MS4A6A	germ line cell	2229.8640939597317	0.006158615344872126	1328999	596	96775
MS4A6A	abnormal cell	3990.975903614458	0.03489564939542236	8281275	2075	59463
MS4A6A	cell in vitro	3266.6639344262294	0.0006058228514393258	1195599	366	604137
MS4A6A	contractile cell	3930.271551724138	0.009784488212222175	911823	232	23711
MS4A6A	embryonic cell (metazoa)	2323.875	0.002072538860103627	18591	8	3860
MS4A6A	hematopoietic cell	4127.184390398983	0.4035926222935044	51928234	12582	31175
MS4A6A	kidney cell	4313.949891067538	0.0035636369282847184	3960206	918	257602
MS4A6A	perivascular cell	3650.3010752688174	0.005008212391286787	678956	186	37139
MS4A6A	precursor cell	3731.450909090909	0.007093662135321278	1026149	275	38767
MS4A6A	malignant cell	3479.376351388059	0.022622513007607	128089761	36814	1627317
MS4A6A	neoplastic cell	3622.057265598932	0.017574981014681003	86842445	23976	1364212
MS4A6A	experimentally modified cell in vitro	2994	0.00019088826673453805	8982	3	15716
MS4A6A	ectodermal cell	1445.5	0.0006025911419102139	2891	2	3319
MS4A6A	erythroid lineage cell	3149.6722090261283	0.02931519322959908	17238156	5473	186695
MS4A6A	hematopoietic lineage restricted progenitor cell	2671.36	0.01212415130940834	66784	25	2062
MS4A6A	hematopoietic precursor cell	3516.836269051748	0.039968191783120485	38533975	10957	274143
MS4A6A	myeloid cell	4577.775199174546	0.5285655532508404	270633492	59119	111848
MS4A6A	primitive red blood cell	1551.5115384615385	0.026959767731231855	403393	260	9644
MS4A6A	proerythroblast	2263.7589285714284	0.03568015291494107	253541	112	3139
MS4A6A	reticulocyte	4667.981818181818	0.011279737489745693	256739	55	4876
MS4A6A	kidney collecting duct cell	2984.5	0.022114108801415303	149225	50	2261
MS4A6A	kidney cortex collecting duct epithelial cell	4076	0.0021691973969631237	4076	1	461
MS4A6A	kidney inner medulla collecting duct epithelial cell	3071.6666666666665	0.0024271844660194173	46075	15	6180
MS4A6A	kidney medulla cell	4583	0.004608294930875576	4583	1	217
MS4A6A	kidney tubule cell	3644.9592592592594	0.012901067921733522	1968278	540	41857
MS4A6A	papillary tips cell	1589.5	0.003766478342749529	3179	2	531
MS4A6A	Leydig stem cell	1309.2380952380952	0.175	27494	21	120
MS4A6A	cardiac muscle myoblast	2866.6955818965516	0.02797919650260044	5320587	1856	66335
MS4A6A	glioblast	1955.1025641025642	0.0002945174444947893	76249	39	132420
MS4A6A	multi fate stem cell	4090.676470588235	0.010290556900726392	139083	34	3304
MS4A6A	muscle precursor cell	3620.9285714285716	0.0007890880396798557	50693	14	17742
MS4A6A	myoblast	3373.3027166882275	0.0044818869149775035	2607563	773	172472
MS4A6A	smooth muscle myoblast	4042.3522727272725	0.029952348536419333	355727	88	2938
MS4A6A	stem cell	2893.2619485294117	0.008246860053513633	6295738	2176	263858
TMEM247	secretory cell	3376.7496062992127	0.00032002386823684994	2144236	635	1984227
TMEM247	B cell	3678.9295774647885	0.000027634916288584036	522408	142	5138427
TMEM247	T cell	4008.296398891967	0.00003057663381076079	2893990	722	23612802
TMEM247	epithelial cell	3163.0448362720404	0.0002965942906869094	6278644	1985	6692644
TMEM247	myeloid leukocyte	3383.667377398721	0.00007680578968265699	3173880	938	12212621
TMEM247	endothelial cell	3203.162277580071	0.0004761586838635075	4500443	1405	2950697
TMEM247	connective tissue cell	3348.317901234568	0.00023147027741248378	4339420	1296	5598991
TMEM247	glial cell	2580.633079847909	0.00019862941924496275	2714826	1052	5296295
TMEM247	neural cell	2220.2923173016866	0.0002688548303985307	7109376	3202	11909773
TMEM247	blood cell	3264.170818505338	0.0001943709885044432	917232	281	1445689
TMEM247	muscle cell	3070.5201590005677	0.0009283558138480533	5407186	1761	1896902
TMEM247	innate lymphoid cell	4020.6187050359713	0.00004273747353889341	558866	139	3252415
TMEM247	somatic stem cell	3166.442748091603	0.0001722376564108565	414804	131	760577
TMEM247	progenitor cell	2652.2961538461536	0.00008819191646461673	689597	260	2948116
TMEM247	retinal cell	2803.0344827586205	0.00002280724106310056	81288	29	1271526
TMEM247	embryonic cell	3208.586578293289	0.0008581408559652875	3872764	1207	1406529
TMEM247	kidney epithelial cell	3370.0379746835442	0.00007800342820130019	266233	79	1012776
TMEM247	extraembryonic cell	1894.906265919511	0.024877072033253917	3719701	1963	78908
TMEM247	germ line cell	3375.2116496514354	0.3127563936967192	102157531	30267	96775
TMEM247	abnormal cell	2845.235294117647	0.00028589206733599045	48369	17	59463
TMEM247	cell in vitro	2008	0.0000016552536924571744	2008	1	604137
TMEM247	contractile cell	3631.7619047619046	0.0008856648812787314	76267	21	23711
TMEM247	embryonic cell (metazoa)	0	0	0	0	3860
TMEM247	hematopoietic cell	2131.75	0.00012830793905372896	8527	4	31175
TMEM247	kidney cell	3628.8571428571427	0.00002717370206753053	25402	7	257602
TMEM247	perivascular cell	2232.3333333333335	0.00032311047685721207	26788	12	37139
TMEM247	precursor cell	0	0	0	0	38767
TMEM247	malignant cell	2039.0367647058824	0.00016714629048919172	554618	272	1627317
TMEM247	neoplastic cell	3234.5384615384614	0.00026682069942208397	1177372	364	1364212
TMEM247	experimentally modified cell in vitro	0	0	0	0	15716
TMEM247	ectodermal cell	0	0	0	0	3319
TMEM247	erythroid lineage cell	2779.375	0.000042850638742333756	22235	8	186695
TMEM247	hematopoietic lineage restricted progenitor cell	0	0	0	0	2062
TMEM247	hematopoietic precursor cell	3635.75	0.00004377277552226393	43629	12	274143
TMEM247	myeloid cell	2769.6666666666665	0.00008046634718546599	24927	9	111848
TMEM247	primitive red blood cell	0	0	0	0	9644
TMEM247	proerythroblast	0	0	0	0	3139
TMEM247	reticulocyte	0	0	0	0	4876
TMEM247	kidney collecting duct cell	0	0	0	0	2261
TMEM247	kidney cortex collecting duct epithelial cell	0	0	0	0	461
TMEM247	kidney inner medulla collecting duct epithelial cell	0	0	0	0	6180
TMEM247	kidney medulla cell	0	0	0	0	217
TMEM247	kidney tubule cell	3653	0.00004778173304345749	7306	2	41857
TMEM247	papillary tips cell	0	0	0	0	531
TMEM247	Leydig stem cell	1501	0.008333333333333333	1501	1	120
TMEM247	cardiac muscle myoblast	0	0	0	0	66335
TMEM247	glioblast	0	0	0	0	132420
TMEM247	multi fate stem cell	0	0	0	0	3304
TMEM247	muscle precursor cell	0	0	0	0	17742
TMEM247	myoblast	0	0	0	0	172472
TMEM247	smooth muscle myoblast	0	0	0	0	2938
TMEM247	stem cell	1767.4285714285713	0.000026529421128030986	12372	7	263858
TRMT61A	secretory cell	2698.2108492906546	0.049769003244084474	266456416	98753	1984227
TRMT61A	B cell	3601.128102700146	0.03785360772859087	700448225	194508	5138427
TRMT61A	T cell	3521.579214489619	0.041746591531153315	3471410797	985754	23612802
TRMT61A	epithelial cell	2822.633943859486	0.07714081310764476	1457258162	516276	6692644
TRMT61A	myeloid leukocyte	3131.20069789551	0.03789686096047687	1449182307	462820	12212621
TRMT61A	endothelial cell	3159.8742191429637	0.041773858854365596	389492416	123262	2950697
TRMT61A	connective tissue cell	3024.745194845964	0.0625835976517912	1059885840	350405	5598991
TRMT61A	glial cell	2835.1735660469585	0.04480792705089123	672832050	237316	5296295
TRMT61A	neural cell	2142.400232182395	0.03507833440654159	895041257	417775	11909773
TRMT61A	blood cell	2977.348627273022	0.042679995490039695	183708365	61702	1445689
TRMT61A	muscle cell	3328.6160553633217	0.04189726195660082	264541761	79475	1896902
TRMT61A	innate lymphoid cell	3937.081254183304	0.026642971453519924	341163839	86654	3252415
TRMT61A	somatic stem cell	3068.3100986106124	0.09519877671820211	222164061	72406	760577
TRMT61A	progenitor cell	2785.548184221038	0.0798225035921246	655511912	235326	2948116
TRMT61A	retinal cell	2649.5031604318847	0.06395307685411072	215452298	81318	1271526
TRMT61A	embryonic cell	2420.3855887903765	0.0523636554951942	178263819	73651	1406529
TRMT61A	kidney epithelial cell	3256.2174068535014	0.03036999296981761	100154735	30758	1012776
TRMT61A	extraembryonic cell	2124.195858835786	0.09731586150960612	16311700	7679	78908
TRMT61A	germ line cell	2149.4497686077902	0.1071764401963317	22294093	10372	96775
TRMT61A	abnormal cell	2609.992765957447	0.0395203740140928	6133483	2350	59463
TRMT61A	cell in vitro	3066.7229240256243	0.027647702425112185	51223473	16703	604137
TRMT61A	contractile cell	3447.992286115007	0.060140862890641474	4916837	1426	23711
TRMT61A	embryonic cell (metazoa)	2399.0364372469635	0.06398963730569948	592562	247	3860
TRMT61A	hematopoietic cell	1919.8274353120244	0.16859663191659985	10090613	5256	31175
TRMT61A	kidney cell	3244.9528648648648	0.03590810630352249	30015814	9250	257602
TRMT61A	perivascular cell	3069.1621932515336	0.07022267697030077	8004375	2608	37139
TRMT61A	precursor cell	2804.7070748862225	0.062346841385714655	6778977	2417	38767
TRMT61A	malignant cell	2583.4916925392017	0.14864405644382747	624923389	241891	1627317
TRMT61A	neoplastic cell	2501.2650748758115	0.12129639674771957	413894337	165474	1364212
TRMT61A	experimentally modified cell in vitro	2047.5404444444443	0.28633240010180705	9213932	4500	15716
TRMT61A	ectodermal cell	2033.2535211267605	0.10695992768906297	721805	355	3319
TRMT61A	erythroid lineage cell	2329.115390126818	0.14951659123168803	65014927	27914	186695
TRMT61A	hematopoietic lineage restricted progenitor cell	2464.6190476190477	0.010184287099903006	51757	21	2062
TRMT61A	hematopoietic precursor cell	2701.724068703993	0.0981166763331546	72670974	26898	274143
TRMT61A	myeloid cell	2851.410118819471	0.046652599957084616	14878658	5218	111848
TRMT61A	primitive red blood cell	1937.4372454646427	0.2800705101617586	5233018	2701	9644
TRMT61A	proerythroblast	1967.7859424920127	0.29913985345651484	1847751	939	3139
TRMT61A	reticulocyte	3266.75	0.0008203445447087777	13067	4	4876
TRMT61A	kidney collecting duct cell	3074.1494252873563	0.03847854931446263	267451	87	2261
TRMT61A	kidney cortex collecting duct epithelial cell	2555.9444444444443	0.039045553145336226	46007	18	461
TRMT61A	kidney inner medulla collecting duct epithelial cell	2540.2108626198083	0.05064724919093851	795086	313	6180
TRMT61A	kidney medulla cell	4588.666666666667	0.013824884792626729	13766	3	217
TRMT61A	kidney tubule cell	3656.193721973094	0.026638316171727548	4076656	1115	41857
TRMT61A	papillary tips cell	3117.9166666666665	0.04519774011299435	74830	24	531
TRMT61A	Leydig stem cell	2399.9	0.08333333333333333	23999	10	120
TRMT61A	cardiac muscle myoblast	2174.6964285714284	0.0194165975729253	2801009	1288	66335
TRMT61A	glioblast	2259.812053115424	0.06653828726778432	19911204	8811	132420
TRMT61A	multi fate stem cell	3867.2168674698796	0.050242130750605324	641958	166	3304
TRMT61A	muscle precursor cell	3745.350332594235	0.025419907563972496	1689153	451	17742
TRMT61A	myoblast	2603.7921970402567	0.11205297091701842	50320888	19326	172472
TRMT61A	smooth muscle myoblast	3682.633333333333	0.010211027910142955	110479	30	2938
TRMT61A	stem cell	2332.396048582106	0.1379226705273291	84880557	36392	263858
TRIM74	secretory cell	3021.570073240024	0.019335993311249168	115928579	38367	1984227
TRIM74	B cell	3548.9866823345083	0.0004968446569348947	9060563	2553	5138427
TRIM74	T cell	3832.679639194006	0.0005821841897458845	52687847	13747	23612802
TRIM74	epithelial cell	2752.081131034483	0.005416394477279832	99762941	36250	6692644
TRIM74	myeloid leukocyte	3107.175314919681	0.000708529315697261	26886388	8653	12212621
TRIM74	endothelial cell	3375.5330661322646	0.0010146755156493533	10106346	2994	2950697
TRIM74	connective tissue cell	3243.658691588785	0.0009555293087629539	17353574	5350	5598991
TRIM74	glial cell	2608.3253477588873	0.0012216086906035257	16875865	6470	5296295
TRIM74	neural cell	2146.7976653696496	0.0012084193376313722	30896712	14392	11909773
TRIM74	blood cell	3254.1448730009406	0.0007352895401431429	3459156	1063	1445689
TRIM74	muscle cell	2743.9067949488876	0.0026300778848880966	13689351	4989	1896902
TRIM74	innate lymphoid cell	3883.145724907063	0.00041353886266051537	5222831	1345	3252415
TRIM74	somatic stem cell	3192.3822845829386	0.015273930187213128	37085905	11617	760577
TRIM74	progenitor cell	2680.4992513368984	0.0015857584979695506	12531334	4675	2948116
TRIM74	retinal cell	3281.2439807383626	0.0029397747273748236	12265290	3738	1271526
TRIM74	embryonic cell	3231.806114035644	0.011209864851702311	50955887	15767	1406529
TRIM74	kidney epithelial cell	2861.2786547700757	0.0014386201884720807	4168883	1457	1012776
TRIM74	extraembryonic cell	1543.6666666666667	0.0001520758351497947	18524	12	78908
TRIM74	germ line cell	1591.4396551724137	0.0023973133557220355	369214	232	96775
TRIM74	abnormal cell	2491.4670658682635	0.002808469132065318	416075	167	59463
TRIM74	cell in vitro	1978.7638326585695	0.0012265429861107663	1466264	741	604137
TRIM74	contractile cell	3465.875	0.0003373961452490405	27727	8	23711
TRIM74	embryonic cell (metazoa)	0	0	0	0	3860
TRIM74	hematopoietic cell	2541.6666666666665	0.00048115477145148355	38125	15	31175
TRIM74	kidney cell	3108.2911392405063	0.00030667463761927313	245555	79	257602
TRIM74	perivascular cell	2937.5	0.0003769622230000808	41125	14	37139
TRIM74	precursor cell	2249.0714285714284	0.0021667913431526816	188922	84	38767
TRIM74	malignant cell	1943.2400787143326	0.0018736361753733293	5924939	3049	1627317
TRIM74	neoplastic cell	3062.360649686231	0.001985761743775894	8295935	2709	1364212
TRIM74	experimentally modified cell in vitro	2025.4545454545455	0.0006999236446933062	22280	11	15716
TRIM74	ectodermal cell	2072	0.00030129557095510696	2072	1	3319
TRIM74	erythroid lineage cell	2537.304347826087	0.00012319558638420954	58358	23	186695
TRIM74	hematopoietic lineage restricted progenitor cell	2738.5	0.0009699321047526673	5477	2	2062
TRIM74	hematopoietic precursor cell	3331.0413650465357	0.003527356160835768	3221117	967	274143
TRIM74	myeloid cell	3586.7719298245615	0.0005096201988412846	204446	57	111848
TRIM74	primitive red blood cell	0	0	0	0	9644
TRIM74	proerythroblast	0	0	0	0	3139
TRIM74	reticulocyte	0	0	0	0	4876
TRIM74	kidney collecting duct cell	3163.4285714285716	0.0030959752321981426	22144	7	2261
TRIM74	kidney cortex collecting duct epithelial cell	0	0	0	0	461
TRIM74	kidney inner medulla collecting duct epithelial cell	2027.625	0.0012944983818770227	16221	8	6180
TRIM74	kidney medulla cell	0	0	0	0	217
TRIM74	kidney tubule cell	3401.409090909091	0.0010511981269560647	149662	44	41857
TRIM74	papillary tips cell	0	0	0	0	531
TRIM74	Leydig stem cell	0	0	0	0	120
TRIM74	cardiac muscle myoblast	2635.391304347826	0.0003467249566593804	60614	23	66335
TRIM74	glioblast	0	0	0	0	132420
TRIM74	multi fate stem cell	0	0	0	0	3304
TRIM74	muscle precursor cell	3831.4857142857145	0.0019727200991996392	134102	35	17742
TRIM74	myoblast	2286.159670781893	0.007044621735702027	2777684	1215	172472
TRIM74	smooth muscle myoblast	0	0	0	0	2938
TRIM74	stem cell	2193.285134037368	0.004665388201229449	2699934	1231	263858
LNPK	secretory cell	2979.4609987987833	0.07887605601576836	466309482	156508	1984227
LNPK	B cell	3521.8355839038477	0.04326499140690332	782953356	222314	5138427
LNPK	T cell	3668.140639821903	0.05509138644367576	4771744769	1300862	23612802
LNPK	epithelial cell	3041.343098189928	0.10773335620421466	2192872242	721021	6692644
LNPK	myeloid leukocyte	3260.6547675198763	0.07725262251239927	3076287565	943457	12212621
LNPK	endothelial cell	3337.5220050875864	0.039834994918149846	392295674	117541	2950697
LNPK	connective tissue cell	3257.726756811362	0.11934025255621951	2176764153	668185	5598991
LNPK	glial cell	3274.921227695442	0.1436428673251773	2491478197	760775	5296295
LNPK	neural cell	2638.3721385093236	0.2523789496239769	7930355653	3005776	11909773
LNPK	blood cell	3644.3611636283345	0.05012350512454615	264081343	72463	1445689
LNPK	muscle cell	3488.0790476520747	0.13681624037509582	905250691	259527	1896902
LNPK	innate lymphoid cell	3988.413128885397	0.05321707100723616	690330498	173084	3252415
LNPK	somatic stem cell	3027.717091027414	0.0808136454297198	186098631	61465	760577
LNPK	progenitor cell	3073.723791734765	0.10605383234581	961027407	312659	2948116
LNPK	retinal cell	3326.3595811750542	0.24824108984008192	1049948770	315645	1271526
LNPK	embryonic cell	2854.698204774117	0.03603907207032347	144704652	50690	1406529
LNPK	kidney epithelial cell	3417.380927866271	0.09781629896443043	338546259	99066	1012776
LNPK	extraembryonic cell	1996.9030578181332	0.09490799411973437	14954807	7489	78908
LNPK	germ line cell	2936.803122923588	0.15551537070524413	44198887	15050	96775
LNPK	abnormal cell	3086.5289869217254	0.0861544153507223	15812288	5123	59463
LNPK	cell in vitro	3780.951387036543	0.12411092186043894	283495735	74980	604137
LNPK	contractile cell	3661.7736351531294	0.09501918940576104	8249976	2253	23711
LNPK	embryonic cell (metazoa)	2523.176377952756	0.1645077720207254	1602217	635	3860
LNPK	hematopoietic cell	3204.5325264750377	0.02120288692862871	2118196	661	31175
LNPK	kidney cell	3119.4578907792084	0.08260029037041638	66375825	21278	257602
LNPK	perivascular cell	3095.784107946027	0.10775734403188024	12389328	4002	37139
LNPK	precursor cell	3577.425865294668	0.11029999742048649	15297073	4276	38767
LNPK	malignant cell	2873.8807239413954	0.12905721503554624	603563808	210017	1627317
LNPK	neoplastic cell	2799.7363804316246	0.19679785839737518	751656425	268474	1364212
LNPK	experimentally modified cell in vitro	2023.6924113156713	0.28340544667854417	9013526	4454	15716
LNPK	ectodermal cell	2300.748226950355	0.16993070201868032	1297622	564	3319
LNPK	erythroid lineage cell	2844.8859074733095	0.07525643429122365	39970647	14050	186695
LNPK	hematopoietic lineage restricted progenitor cell	2711	0.04558680892337536	254834	94	2062
LNPK	hematopoietic precursor cell	2676.2982377871963	0.08176389694429549	59989225	22415	274143
LNPK	myeloid cell	3128.5188138549715	0.107637150418425	37664238	12039	111848
LNPK	primitive red blood cell	2512.0233943941735	0.4698257984238905	11381978	4531	9644
LNPK	proerythroblast	2109.064237775647	0.3322714240203887	2199754	1043	3139
LNPK	reticulocyte	4591.871559633028	0.022354388843314192	500514	109	4876
LNPK	kidney collecting duct cell	3125.9776536312847	0.07916850950906679	559550	179	2261
LNPK	kidney cortex collecting duct epithelial cell	2880.689655172414	0.18872017353579176	250620	87	461
LNPK	kidney inner medulla collecting duct epithelial cell	2865.383916990921	0.24951456310679612	4418422	1542	6180
LNPK	kidney medulla cell	4603	0.018433179723502304	18412	4	217
LNPK	kidney tubule cell	3516.0177907594266	0.08997300332083044	13241323	3766	41857
LNPK	papillary tips cell	2760.5714285714284	0.15819209039548024	231888	84	531
LNPK	Leydig stem cell	0	0	0	0	120
LNPK	cardiac muscle myoblast	3293.105608688604	0.5579859802517525	121891011	37014	66335
LNPK	glioblast	2799.6414689781022	0.33106781452952727	122736282	43840	132420
LNPK	multi fate stem cell	2655.4	0.004539951573849879	39831	15	3304
LNPK	muscle precursor cell	3528.677655677656	0.015387216773757185	963329	273	17742
LNPK	myoblast	2980.306007644782	0.2411811772345656	123971789	41597	172472
LNPK	smooth muscle myoblast	3981.796915167095	0.13240299523485363	1548919	389	2938
LNPK	stem cell	2848.1074429473474	0.07622660673544103	57283985	20113	263858
SLC38A10	secretory cell	3280.7484495054396	0.20818888161485555	1355257500	413094	1984227
SLC38A10	B cell	3893.4231967345186	0.16668019220668115	3334615739	856474	5138427
SLC38A10	T cell	3750.7989040089024	0.09864208406948062	8736420820	2329216	23612802
SLC38A10	epithelial cell	3041.2760153532313	0.18611493454604788	3788216446	1245601	6692644
SLC38A10	myeloid leukocyte	3497.734435885453	0.1932608078151283	8255426268	2360221	12212621
SLC38A10	endothelial cell	3388.6371616171973	0.12227517769530385	1222610122	360797	2950697
SLC38A10	connective tissue cell	3300.427932849229	0.1572651215192166	2906112606	880526	5598991
SLC38A10	glial cell	3003.354310344828	0.14630604979518702	2327239188	774880	5296295
SLC38A10	neural cell	2118.1042615122687	0.11619264279848154	2931091984	1383828	11909773
SLC38A10	blood cell	3443.849203950629	0.11443816754502524	569757300	165442	1445689
SLC38A10	muscle cell	3156.715841014633	0.11272643499769625	675003705	213831	1896902
SLC38A10	innate lymphoid cell	4027.097562198593	0.10424100245509875	1365327022	339035	3252415
SLC38A10	somatic stem cell	3065.107252828168	0.1571333342975136	366317098	119512	760577
SLC38A10	progenitor cell	3042.6691882764944	0.16272086987079207	1459629263	479720	2948116
SLC38A10	retinal cell	2760.1789775571797	0.10996393310085677	385933745	139822	1271526
SLC38A10	embryonic cell	2952.5745375711267	0.1275714898164204	529789307	179433	1406529
SLC38A10	kidney epithelial cell	3441.849051056964	0.14442285362212376	503432377	146268	1012776
SLC38A10	extraembryonic cell	2553.940579628903	0.2260734019364323	45559746	17839	78908
SLC38A10	germ line cell	2289.2175556035413	0.191413071557737	42405466	18524	96775
SLC38A10	abnormal cell	3099.807096107475	0.14646082437818475	26996220	8709	59463
SLC38A10	cell in vitro	3917.765662927766	0.20866459097853632	493881375	126062	604137
SLC38A10	contractile cell	3554.1332655137335	0.08291510269495171	6987426	1966	23711
SLC38A10	embryonic cell (metazoa)	2716.2318992654773	0.24689119170984455	2588569	953	3860
SLC38A10	hematopoietic cell	2481.4386497890296	0.38011226944667204	29405048	11850	31175
SLC38A10	kidney cell	3179.274533386788	0.08714606253057042	71371534	22449	257602
SLC38A10	perivascular cell	3177.764366434239	0.11198470610409543	13216322	4159	37139
SLC38A10	precursor cell	3138.572751139975	0.1866793922666185	22713851	7237	38767
SLC38A10	malignant cell	2799.0304154848413	0.22553503711938117	1027291746	367017	1627317
SLC38A10	neoplastic cell	2960.0507174886516	0.23850471920786506	963114662	325371	1364212
SLC38A10	experimentally modified cell in vitro	1990.9324718632763	0.3052939679307712	9552494	4798	15716
SLC38A10	ectodermal cell	2117.597701149425	0.10485085869237722	736924	348	3319
SLC38A10	erythroid lineage cell	2300.2109040032497	0.11868020032673612	50965773	22157	186695
